Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
137.trim	45.164582763268804	38.0	82.85139353220033	9.090909090909092	6248833.0
139.trim	34.140031871462256	38.0	80.89140359072125	9.090909090909092	2237155.0
140.trim	45.856182415824506	36.0	82.06898534273384	9.090909090909092	5697993.0
141.trim	34.31135498000562	37.0	82.53686872242145	9.090909090909092	1974587.0
156.trim	55.36505836599443	35.0	83.91247670362323	18.181818181818183	5120968.0
159.trim	56.29940133492831	35.0	79.03397292603273	9.090909090909092	9025275.0
161.trim	44.27982855448194	37.0	81.95215217059283	9.090909090909092	6763567.0
162.trim	46.09072325791661	35.0	79.40322837945402	0.0	6049165.0
168.trim	44.36714620262614	36.0	83.46759173520009	0.0	2986013.0
169.trim	52.51344071299821	37.0	81.68804873266747	18.181818181818183	10573113.0
171.trim	50.44736581816924	36.0	81.13615439115593	9.090909090909092	8008438.0
172.trim	40.71380497060697	37.0	81.68080244454407	9.090909090909092	4809404.0
181.trim	52.42285588439111	34.0	80.05031530303205	9.090909090909092	2688049.0
183.trim	43.9898389738474	37.0	82.6647026827626	9.090909090909092	9300823.0
184.trim	38.79962208197498	38.0	82.28574871908728	9.090909090909092	3260956.0
185.trim	43.08430256569825	37.0	82.61578271674622	9.090909090909092	2097649.0
291.trim	40.87856054720827	38.0	80.71591140447846	9.090909090909092	6950103.0
292.trim	33.88015078293786	41.0	70.80610384853837	0.0	4745334.0
293.trim	36.033700405854994	41.0	73.51459068774278	0.0	4921084.0
294.trim	43.019655386614275	38.0	73.6139363736471	9.090909090909092	7135974.0
295.trim	37.92016169587199	39.0	80.081767255242	0.0	9324833.0
296.trim	38.11506750114244	37.0	70.27083995423769	9.090909090909092	11560606.0
298.trim	33.23479223391196	38.0	73.24769560550563	9.090909090909092	6324004.0
299.trim	35.016399002144155	40.0	65.72179469848128	0.0	9113464.0
301.trim	36.78485491053275	38.0	70.35988318303357	0.0	7081848.0
302.trim	31.8123028800793	38.0	71.16069906310041	0.0	9834992.0
303.trim	35.287631946213935	38.0	77.76403470474999	9.090909090909092	7583861.0
304.trim	33.96682976881705	39.0	65.2461089644364	9.090909090909092	8289824.0
305.trim	37.95896007418874	38.0	77.02513755257486	9.090909090909092	5956268.0
306.trim	43.72483616959428	37.0	81.66322930917909	9.090909090909092	7630183.0
307.trim	43.22719885537391	37.0	85.28136123051081	9.090909090909092	7296222.0
308.trim	46.958529894853974	38.0	79.93169032598414	9.090909090909092	8014531.0
309.trim	36.599746863080384	38.0	77.79712017710968	9.090909090909092	8376279.0
311.trim	35.83252364150641	38.0	78.60303227910009	0.0	6870080.0
312.trim	37.90072557001793	38.0	78.99967618514209	0.0	6899004.0
313.trim	40.18819644869565	39.0	79.11742830617786	9.090909090909092	6811884.0
314.trim	53.50470304982937	39.0	87.91346705685413	18.181818181818183	5277805.0
315.trim	36.26074735261822	39.0	68.0190048257423	0.0	8512680.0
