Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
137.trim	3.0	3.0	13.0	31.0	46.0	63.5	91.5	159.0	266.0	398.0	598.5	897.5	1239.5	1824.0	2720.5	4175.5	6438.0	9780.0	15041.5	22628.0	33076.5	49910.5	79266.5	102003.0	116417.0	138137.0	168628.5	197713.5	229687.5	278015.5	333113.0	398142.5	449262.5	448778.5	415672.0	379213.0	339224.5	308058.5	289801.5	277271.0	277829.0	296959.0	318030.0	309945.0	271751.0	230109.5	200522.5	181384.0	167104.0	148088.5	125254.5	110328.5	98372.5	82234.0	66467.5	54351.5	46385.0	42269.0	39301.0	35078.0	29733.5	24426.0	19194.5	13181.5	8800.0	7737.0	7394.5	6727.5	6828.0	6161.0	4264.0	2629.0	1479.0	841.5	549.5	341.0	201.0	124.5	80.5	49.5	30.0	17.5	16.5	13.0	10.5	9.0	7.5	7.5	6.0	4.0	2.0	1.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139.trim	0.0	0.5	7.5	14.5	18.0	25.0	40.5	84.5	146.5	209.5	300.0	443.5	635.5	971.5	1440.0	2119.5	3157.5	4737.5	7061.5	10202.0	14471.0	20828.0	31287.0	39796.5	45483.5	53422.0	64140.0	74703.0	86753.5	103506.5	122244.0	144165.0	162146.5	163387.5	152885.0	140952.5	127043.0	115935.5	109290.0	103749.0	102326.0	106906.0	111857.5	108343.5	95703.5	81324.5	71275.5	65293.0	60472.5	54021.0	46055.5	40783.5	37243.0	32137.5	26513.0	21990.5	19690.0	19601.0	19115.0	16549.5	13203.0	10108.0	7523.0	5064.5	3200.0	2645.0	2358.0	2068.0	1917.5	1660.0	1288.0	907.5	565.0	314.5	204.0	146.5	86.0	55.5	46.5	30.5	20.5	16.5	11.5	9.0	6.5	3.0	0.5	1.0	2.0	2.5	1.5	0.5	0.5	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0
140.trim	0.0	1.0	9.0	20.5	27.0	37.5	72.0	148.5	262.5	403.5	644.0	1029.5	1460.0	2214.5	3371.0	5045.0	7654.5	11670.0	17873.5	26497.5	38985.5	58189.0	90670.0	114182.5	127576.0	148205.0	176679.5	202963.0	231331.0	277994.5	332599.5	400672.5	458501.0	459064.5	421592.5	381080.0	335319.5	298726.0	275269.5	254440.0	246442.5	262003.0	284220.0	277523.0	236896.0	189844.5	157504.0	138338.5	125617.0	111109.0	92768.5	78911.5	68654.5	57337.0	46620.0	38406.5	32770.5	29218.0	26127.5	22356.5	17987.0	13655.5	10131.5	6872.5	4346.5	3370.5	2934.0	2653.5	2384.0	2061.0	1757.5	1423.0	996.5	655.5	494.0	386.0	246.0	141.5	90.0	57.0	36.0	21.5	15.0	12.0	10.0	7.0	5.5	6.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141.trim	6.0	11.5	36.0	61.5	83.0	129.5	196.0	282.5	406.5	553.0	737.5	982.5	1263.5	1634.0	2094.5	2782.0	3731.5	4995.0	6866.0	9438.0	13006.5	18383.5	27354.0	34559.5	39357.0	46161.0	55505.5	64958.5	75053.5	89062.0	105374.5	125899.0	142835.5	144908.5	135760.0	122988.0	109828.0	100408.0	94993.0	91171.5	91037.0	96519.5	102241.0	97644.0	83839.0	69980.0	59331.5	52148.5	47136.0	41675.5	35591.0	30977.5	27098.0	22814.0	18926.0	15853.5	13721.5	12285.0	11140.0	9806.0	8200.0	6391.0	4706.5	3209.5	2104.0	1792.0	1680.0	1460.0	1320.5	1121.0	822.5	549.5	336.5	191.0	123.5	81.5	49.5	35.5	24.5	14.0	5.5	4.5	6.5	5.5	4.0	3.0	1.5	1.0	0.5	0.0	0.5	1.0	1.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
156.trim	2.0	3.0	10.0	22.5	36.5	53.0	83.5	142.0	218.5	320.0	473.0	680.0	942.5	1529.0	2459.0	3669.0	5566.5	8752.5	13946.0	21005.5	30950.0	48501.0	82904.5	107547.5	118854.5	138488.5	163659.0	189274.0	221385.5	268498.5	331152.0	419669.0	483161.5	475046.0	427462.0	368107.0	301809.5	251551.0	221084.5	198139.0	190595.5	204340.5	233259.5	222954.5	167540.5	121700.5	94266.0	77535.5	68441.0	60577.0	51157.5	44173.5	39067.0	32973.5	26817.0	21958.5	17962.0	14806.5	12721.0	10656.0	8042.0	5863.5	4098.5	2632.0	1810.0	1446.5	1248.0	1043.5	891.0	765.0	687.0	586.5	379.5	222.0	163.5	113.5	63.5	40.0	28.5	18.0	10.5	7.0	4.5	2.5	2.0	2.0	2.5	2.5	1.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	0.5	0.0	0.0
159.trim	8.0	16.0	39.0	65.5	94.5	142.5	225.5	388.0	625.5	870.5	1194.0	1726.5	2376.5	3401.0	5034.0	7572.0	11681.5	18543.5	29370.5	43762.5	63211.0	92903.0	140713.5	188568.0	232922.0	289292.0	351004.5	411008.0	483830.5	573008.5	676725.0	810932.0	910133.0	894810.5	813896.0	722364.0	607683.5	509594.0	440835.5	384966.0	358321.0	350735.0	353487.0	325447.0	261308.5	208345.0	171471.0	142615.0	122107.0	106318.0	91154.5	77969.0	65634.5	53926.5	44575.0	36775.0	29788.0	24347.5	21069.5	19348.0	16558.0	12600.0	8631.5	5482.5	3752.0	3190.0	2887.5	2457.0	2116.0	1768.0	1368.5	944.0	572.0	332.0	236.0	178.5	118.0	64.5	33.5	22.5	19.0	14.5	11.0	6.5	3.0	2.5	2.0	2.5	3.0	2.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0
161.trim	5.0	7.5	21.0	37.0	47.5	63.5	93.5	148.5	243.5	384.0	582.0	887.5	1317.0	2067.5	3120.5	5178.0	8673.0	14151.0	21786.0	29795.0	41151.0	61740.0	102986.0	142541.5	169222.0	196869.5	221160.5	242420.5	272676.5	315105.0	365821.5	436259.0	489241.5	481854.5	440544.5	398646.0	358881.0	331405.5	317975.5	309854.0	310278.0	323977.5	335598.0	321251.0	287425.5	250479.0	213680.0	181864.0	162582.0	146377.0	131206.0	122935.5	117175.5	99627.0	77936.0	61895.0	45774.0	36862.5	33373.5	29948.5	25068.5	18818.0	13527.5	9496.0	6509.5	4841.5	3752.5	3021.5	2622.0	2221.5	1699.5	1269.0	933.5	677.5	515.0	404.0	287.0	183.0	123.5	83.5	59.5	45.0	33.0	23.5	19.5	15.5	11.5	10.5	6.0	1.5	1.5	1.5	1.0	1.5	2.0	2.0	2.0	2.0	1.0	0.0	0.0
162.trim	56.0	85.5	216.5	380.5	537.5	783.5	1199.5	1857.5	2656.5	3517.5	4681.5	6193.5	7729.5	9805.5	12435.5	15580.0	19760.5	25347.0	33419.5	43931.0	57569.5	78058.0	113420.0	143979.0	167019.5	195111.0	225257.5	251988.0	286127.5	336900.0	394662.5	469171.0	534436.0	535763.5	491565.0	440846.5	374920.0	320542.0	286675.0	257553.5	243351.0	255873.0	283914.5	277090.5	228457.5	178607.5	145209.5	125944.0	113937.5	99228.0	82157.5	72730.0	66756.5	55033.5	43146.0	35127.5	28838.5	25048.0	22641.0	19794.5	16559.5	13227.0	10350.5	7403.5	5186.0	4335.0	3817.5	3538.5	3344.5	3014.5	2383.5	1603.5	1016.5	656.5	446.0	320.5	227.5	152.5	101.5	68.5	44.5	23.5	19.0	12.5	6.0	5.5	6.0	5.5	3.0	1.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
168.trim	8.0	10.5	30.0	59.0	89.0	129.5	204.5	350.5	529.5	717.5	981.5	1328.5	1729.0	2276.5	2976.5	3946.5	5465.5	7685.0	10985.0	15491.0	21609.0	30630.0	45767.0	58130.0	66749.0	79171.0	95145.0	110245.5	127196.5	150601.0	176559.5	210494.0	239246.0	242000.5	224701.0	199250.5	170330.0	148169.0	134223.0	123680.5	120509.0	127185.0	137058.5	133089.5	111720.0	89545.5	74230.0	63088.0	56124.0	49186.0	40732.5	35318.5	31775.0	26705.5	21612.5	18071.5	15472.5	14006.5	13107.0	11522.5	9232.0	7255.5	5524.0	3800.5	2728.0	2401.0	2295.0	2180.0	2164.0	1858.0	1289.5	823.0	457.0	234.0	150.0	106.0	64.0	37.0	25.5	18.0	12.0	6.0	3.0	3.0	2.5	1.5	1.5	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
