Sample	Top over-represented sequence	Sum of remaining over-represented sequences
137.trim	0.15566106503406316	0.2308751090003525
139.trim	0.13727256269681803	0.33743750433027664
140.trim	0.17621994270614233	0.9702363621717329
141.trim	0.1656042504078068	0.22419878182121122
156.trim	0.2677814038283387	2.61235766362922
159.trim	0.29466138150915067	1.8976485481051824
161.trim	0.12617602516541937	0.110296830060233
162.trim	0.2115333273269947	1.5562643769842612
168.trim	0.15492229940057195	0.6026095666696696
169.trim	0.14511336443675577	0.0
171.trim	0.1848550241632638	0.4938166468916909
172.trim	0.12766654662407234	0.2270343684997143
181.trim	0.34984481309678506	1.3714779752898851
183.trim	0.14476138294428353	0.11594672858520155
184.trim	0.14581613490031756	0.110887727402639
185.trim	0.23068683082822722	1.7934363661413324
291.trim	0.1327750106725037	0.4720937229275594
292.trim	0.1153764940465729	0.22179682188861732
293.trim	0.14084295248770393	0.0
294.trim	0.10491910424561524	0.0
295.trim	0.0	0.0
296.trim	0.10423329019257294	0.0
298.trim	0.0	0.0
299.trim	0.108092817396327	0.0
301.trim	0.0	0.0
302.trim	0.0	0.0
303.trim	0.11904226620187264	0.10470919759737157
304.trim	0.16370673249516515	0.0
305.trim	0.1438148854282581	0.24909893241875614
306.trim	0.12795237021182848	0.11424365575504547
307.trim	0.19780099892793834	0.473601269259625
308.trim	0.13499230335499357	0.22431755520067231
309.trim	0.10005636154192094	0.0
311.trim	0.11100307420000932	0.0
312.trim	0.22688782322781664	0.6497749530222044
313.trim	0.10886855971123408	0.0
314.trim	0.39478533215986567	1.8651124852092869
315.trim	0.10577162538706963	0.0
316.trim	0.0	0.0
317.trim	0.11849260504234503	0.10118210310703092
318.trim	0.1015727418405363	0.0
319.trim	0.2581630936282711	1.1380974616447352
321.trim	0.11632041254840254	0.0
322.trim	0.1095225299772902	0.0
323.trim	0.1293414127191659	0.12517181266552682
324.trim	0.1576084468322036	0.332809053329118
325.trim	0.10618676222596965	0.0
326.trim	0.12191158806451438	0.10418144178856328
327.trim	0.10535862955892	0.0
328.trim	0.1670212118356656	0.0
329.trim	0.2662676665152326	1.0414090848970348
331.trim	0.2254284804921868	1.714307105903783
332.trim	0.21736731725668043	0.5224517241277166
333.trim	0.11081722052105528	0.0
334.trim	0.3916505845656711	2.203428993784081
335.trim	0.0	0.0
336.trim	0.29185973189244496	0.8747125196085461
337.trim	0.1436966341510652	0.4732085406962499
338.trim	0.1554164109015911	0.5091369349176743
339.trim	0.10994039256716828	0.10766161789925774
34.trim	0.2638815341104729	2.0447405352906673
341.trim	0.1362663997107366	0.3516729782518606
342.trim	0.0	0.0
343.trim	0.24324571208658632	0.36733467237163286
344.trim	0.25084449017519933	1.1581878656632487
345.trim	0.13706023379721494	0.0
346.trim	0.11245682665616152	0.0
347.trim	0.1167666814263849	0.10751753113445285
348.trim	0.11251596510315653	0.11110810768194587
349.trim	0.10964993745550171	0.0
35.trim	1.6264577114519903	7.162269289152047
37.trim	1.1115424986917997	7.736164373851406
39.trim	0.1352331254264826	0.33585881137599527
401.trim	0.28391083136689105	1.9110323094632955
402.trim	0.1436015052936961	0.6836151246848023
403.trim	0.17555506513897884	0.5904896970310904
404.trim	0.20636250835273368	1.5156335936082828
41.trim	0.2202976600501905	1.558616346644401
411.trim	0.12907820905328063	0.20986529601337292
412.trim	3.4088728175755034	16.848235032511578
413.trim	0.17754422754933766	0.7771443784548338
414.trim	0.3124259906984132	2.0410980917611434
421.trim	0.10077683829843116	0.0
43.trim	0.17500544959549313	0.6403608496562362
431b.trim	0.4112829786858153	0.8252802194537107
432.trim	1.3947163068912984	8.50764029386674
434.trim	0.42922937410039225	4.2257408793958575
44.trim	0.10647434674708255	0.20477388582922318
441.trim	2.3957959754790012	9.904258594087285
442b.trim	0.515977638647726	3.2240196116468924
443.trim	0.2264985995787573	1.9708107062141988
444.trim	0.3709779265554056	3.1020026340049385
445.trim	0.12995876202314133	0.10403450472626824
45.trim	0.1428490960562956	0.5702240837971783
451.trim	0.18472909892331624	0.7789349909703229
452b.trim	0.13117236983583502	0.10805675664592268
453.trim	0.14832275507550025	0.9612090022525788
46.trim	0.23410037785264112	1.552296845781905
461b.trim	0.15852771325812248	0.5166641431822836
462b.trim	0.23450493161361669	2.562941667027885
47.trim	0.10884425781285686	0.10202051708666543
471b.trim	0.16245413426810995	0.4815061816734201
472b.trim	0.14535187582110232	0.26222597755720944
473.trim	0.17080090770140025	0.6483625052693004
474.trim	0.1516093873809672	0.6246463855936449
475.trim	0.22671503033828794	0.44840784874033285
476.trim	0.2988575449271303	1.8477263315402312
477.trim	0.12730244765564105	0.0
481.trim	0.17276818039534486	1.187085940071524
482.trim	0.2726070520854785	2.5527155123886747
483.trim	0.36296005168951023	2.981457567449549
484.trim	0.1627170352913035	0.46330925942083406
485.trim	0.17155517549213406	0.23791128833908742
487.trim	0.11051108973556265	0.0
488.trim	0.2470445536594403	1.6348459532581567
489.trim	0.11909164726227643	0.0
490.trim	0.18063979992156157	0.5783927513358452
491.trim	0.6355881036330205	3.6993028817575837
492.trim	0.25891020196996445	1.846703819707801
506.trim	0.5992280439630095	6.701964543656963
513.trim	0.1686900795118565	1.3333035087312852
521.trim	0.4253424435171975	6.335235613078533
522.trim	0.23595034765874134	2.9705405783561045
523.trim	0.2966827433682702	1.5440718759421355
524.trim	0.3642976491924867	1.6608140508714124
525.trim	0.1437128666022654	0.1066462281697082
526.trim	0.12195089311488848	0.10694361123760561
527.trim	0.18548876827050953	1.3514564982332062
528.trim	0.20386324324850857	1.0879780059623623
529.trim	0.5720711276801856	4.3151340458883665
531.trim	0.15303575504816816	0.22725880390294753
532.trim	0.20660333068654693	1.3893457041313955
533.trim	0.13427949003770318	0.4604472152666634
541.trim	0.20399321200405596	1.6516639950556076
542.trim	0.6784388481341355	6.331227760943122
543.trim	0.2514113696555014	1.0002935893541238
551.trim	0.15480149977353314	0.9964676527579375
552b.trim	0.18965387519166457	1.1913688028455864
553.trim	0.1087070223535029	0.0
554.trim	0.1070988216502501	0.0
561.trim	1.5611597565114799	5.830595666575283
562.trim	0.613124974682251	4.628454900905578
563.trim	1.4330963909805787	7.050186494528317
564.trim	0.1721671580092564	0.1286675959078256
565.trim	0.29528098128537716	0.6723503981439064
571.trim	0.4417017978878822	0.8376725354860707
Undetermined.trim	0.0	0.0
