Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
137.trim	137.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	6248833.0	0.0	20-100	38.0	54.835417236731196	82.85139353220033	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
139.trim	139.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	2237155.0	0.0	20-100	38.0	65.85996812853774	80.89140359072125	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
140.trim	140.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5697993.0	0.0	20-100	36.0	54.143817584175494	82.06898534273384	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
141.trim	141.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	1974587.0	0.0	20-100	37.0	65.68864501999438	82.53686872242145	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
156.trim	156.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5120968.0	0.0	20-100	35.0	44.63494163400557	83.91247670362323	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
159.trim	159.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	9025275.0	0.0	20-100	35.0	43.70059866507169	79.03397292603273	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
161.trim	161.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	6763567.0	0.0	20-100	37.0	55.72017144551806	81.95215217059283	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
162.trim	162.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	6049165.0	0.0	20-100	35.0	53.90927674208339	79.40322837945402	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
168.trim	168.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	2986013.0	0.0	20-100	36.0	55.63285379737386	83.46759173520009	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
169.trim	169.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	10573113.0	0.0	20-100	37.0	47.48655928700179	81.68804873266747	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
171.trim	171.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	8008438.0	0.0	20-100	36.0	49.55263418183076	81.13615439115593	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
172.trim	172.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4809404.0	0.0	20-100	37.0	59.28619502939303	81.68080244454407	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
181.trim	181.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	2688049.0	0.0	20-100	34.0	47.57714411560889	80.05031530303205	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
183.trim	183.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	9300823.0	0.0	20-100	37.0	56.0101610261526	82.6647026827626	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
184.trim	184.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	3260956.0	0.0	20-100	38.0	61.20037791802502	82.28574871908728	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
185.trim	185.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	2097649.0	0.0	20-100	37.0	56.91569743430175	82.61578271674622	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
291.trim	291.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	6950103.0	0.0	20-100	38.0	59.12143945279173	80.71591140447846	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
292.trim	292.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4745334.0	0.0	20-100	41.0	66.11984921706214	70.80610384853837	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
293.trim	293.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4921084.0	0.0	20-100	41.0	63.966299594145006	73.51459068774278	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
294.trim	294.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	7135974.0	0.0	20-100	38.0	56.980344613385725	73.6139363736471	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
295.trim	295.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	9324833.0	0.0	20-100	39.0	62.07983830412801	80.081767255242	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
296.trim	296.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	11560606.0	0.0	20-100	37.0	61.88493249885756	70.27083995423769	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
298.trim	298.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	6324004.0	0.0	20-100	38.0	66.76520776608804	73.24769560550563	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
299.trim	299.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	9113464.0	0.0	20-100	40.0	64.98360099785585	65.72179469848128	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
301.trim	301.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	7081848.0	0.0	20-100	38.0	63.21514508946725	70.35988318303357	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
302.trim	302.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	9834992.0	0.0	20-100	38.0	68.1876971199207	71.16069906310041	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
