Sample	Top over-represented sequence	Sum of remaining over-represented sequences
137_S63_L001_R1_001	0.15193539240582224	0.5588555647293798
139_S54_L001_R1_001	0.1434524187056846	0.3473080962076203
140_S64_L001_R1_001	0.17045879789889676	1.1608814369452642
141_S61_L001_R1_001	0.1605624939562039	0.4347115397359038
156_S66_L001_R1_001	0.264893833934215	3.5646457578369497
159_S68_L001_R1_001	0.31103434970860183	2.6310724057788537
161_S57_L001_R1_001	0.12385877545808593	0.4198661582304563
162_S62_L001_R1_001	0.23365408245251476	2.079521333827381
168_S67_L001_R1_001	0.17203799153244892	1.062039586716562
169_S65_L001_R1_001	0.156985204898567	0.11516944729412765
171_S58_L001_R1_001	0.20367910691446237	1.0624486052534854
172_S59_L001_R1_001	0.13433966488040153	0.3361190008374991
181_S69_L001_R1_001	0.3589573972511922	1.3805574754892533
183_S56_L001_R1_001	0.14025856025582528	0.6453331039260003
184_S55_L001_R1_001	0.1387181763969142	0.20785855819995885
185_S60_L001_R1_001	0.22445049964693442	2.6703628438680407
291_S42_L001_R1_001	0.12720298805069102	0.3552892038685914
292_S32_L001_R1_001	0.13663346069868995	0.23513312712275594
293_S11_L001_R1_001	0.16310374171587713	0.2458961309112164
294_S7_L001_R1_001	0.12274351603752881	0.20465832030625597
295_S41_L001_R1_001	0.0	0.0
296_S40_L001_R1_001	0.12887334955662544	0.0
298_S25_L001_R1_001	0.11139328734101961	0.0
299_S21_L001_R1_001	0.15376683834676658	0.3325149177926261
301_S22_L001_R1_001	0.1462728254968839	0.10264356828431256
302_S15_L001_R1_001	0.11177228301987674	0.0
303_S17_L001_R1_001	0.11535406370653783	0.20533202044742366
304_S24_L001_R1_001	0.17598038165599594	0.0
305_S1_L001_R1_001	0.13862594135218143	0.46848351278491374
306_S44_L001_R1_001	0.12263686457370102	0.10950571907834925
307_S45_L001_R1_001	0.19376460276847968	0.4638143765957578
308_S5_L001_R1_001	0.1324293591891132	0.3241224155428124
309_S20_L001_R1_001	0.0	0.0
311_S2_L001_R1_001	0.10797417101762899	0.0
312_S28_L001_R1_001	0.2190869674104813	0.7490566486507663
313_S36_L001_R1_001	0.10661519943981407	0.0
314_S49_L001_R1_001	0.38828884038979067	1.9469036112408677
315_S26_L001_R1_001	0.12188937614368194	0.0
316_S9_L001_R1_001	0.0	0.0
317_S33_L001_R1_001	0.11415369144755898	0.0
318_S6_L001_R1_001	0.0	0.0
319_S52_L001_R1_001	0.25262115186747447	1.11489699239283
321_S29_L001_R1_001	0.11253581614775865	0.0
322_S8_L001_R1_001	0.10508037100768036	0.0
323_S39_L001_R1_001	0.1653117229498268	0.14905397199575351
324_S47_L001_R1_001	0.15395584910262786	0.22659467674900788
325_S13_L001_R1_001	0.10262691573105108	0.0
326_S38_L001_R1_001	0.11950640227789977	0.10215763477150364
327_S37_L001_R1_001	0.10305947885749175	0.0
328_S12_L001_R1_001	0.18100920997409067	0.0
329_S46_L001_R1_001	0.26046039433010015	1.1304154535459374
331_S53_L001_R1_001	0.23000437604120352	1.7190529104752872
332_S48_L001_R1_001	0.209895625994667	1.4792797337389434
333_S30_L001_R1_001	0.10662472439197372	0.0
334_S50_L001_R1_001	0.38264085202230635	2.2771291696268854
335_S31_L001_R1_001	0.0	0.0
336_S51_L001_R1_001	0.28334748902641754	1.7127900138328624
337_S35_L001_R1_001	0.15971253964693458	0.7078750076259682
338_S4_L001_R1_001	0.22243159544973629	0.6382107856387127
339_S10_L001_R1_001	0.12935042709664707	0.21324465235048246
341_S19_L001_R1_001	0.14830983593978184	0.4795555284435892
342_S23_L001_R1_001	0.0	0.0
343_S14_L001_R1_001	0.4495919427388149	1.4592867344626776
344_S27_L001_R1_001	0.2738899335940906	1.6637117294220052
345_S16_L001_R1_001	0.15904611361551824	0.0
346_S18_L001_R1_001	0.14027769069890608	0.11890301350665514
347_S43_L001_R1_001	0.1518073649676683	0.21697591764929627
348_S3_L001_R1_001	0.14188494980651184	0.21665165152063803
349_S34_L001_R1_001	0.12409408532683651	0.12076893097300263
34_S68_L002_R1_001	0.25664476092486804	1.7031800855213093
35_S72_L002_R1_001	1.663947678105971	5.720397546678008
37_S70_L002_R1_001	1.0845070052170986	7.764970233086503
39_S52_L002_R1_001	0.13744807739538062	0.5562158965925958
401_S10_L002_R1_001	0.28063030541778694	1.944160217552453
402_S5_L002_R1_001	0.14855875831485588	0.9190085769779474
403_S30_L002_R1_001	0.17232589826649197	0.7114876685379674
404_S42_L002_R1_001	0.20350809325373384	2.159434291499416
411_S9_L002_R1_001	0.126613810878649	0.3140600146755891
412_S74_L002_R1_001	3.239414590928743	17.54675931630714
413_S38_L002_R1_001	0.1831068795291929	1.2365788856398163
414_S49_L002_R1_001	0.2939476698530728	1.7020732386726654
41_S62_L002_R1_001	0.2172708545564545	1.4563652226154302
421_S22_L002_R1_001	0.0	0.0
431b_S8_L002_R1_001	0.44621170515842334	0.8375671048003428
432_S75_L002_R1_001	1.3604817389179442	8.334028240473568
434_S55_L002_R1_001	0.4222865457378301	4.449123658744147
43_S46_L002_R1_001	0.17346816068765294	0.9983297639195825
441_S73_L002_R1_001	2.6174060957027554	10.759705652605003
442b_S60_L002_R1_001	0.47690277975700684	3.333979966626368
443_S36_L002_R1_001	0.22201923053542524	2.013248854929658
444_S34_L002_R1_001	0.36580982232005715	3.030469221015664
445_S45_L002_R1_001	0.12779554642471755	0.10852670400721057
44_S71_L002_R1_001	0.3764943331780779	1.9095681263603155
451_S28_L002_R1_001	0.19151982236198928	0.6824108028288773
452b_S2_L002_R1_001	0.14927225721234869	0.34902253333720057
453_S12_L002_R1_001	0.1536389077908431	0.9778347725212679
45_S63_L002_R1_001	0.18634878629203117	1.0344950618608826
461b_S31_L002_R1_001	0.15525906929123598	0.7129577575387048
462b_S64_L002_R1_001	0.2486393259094132	3.07323004229975
46_S66_L002_R1_001	0.2279373097254087	2.0220900124304273
471b_S51_L002_R1_001	0.15932316508639832	0.3727785709088446
472b_S48_L002_R1_001	0.15088601430953755	0.47856326763100854
473_S20_L002_R1_001	0.16853787970134654	0.6478983871334365
474_S14_L002_R1_001	0.14989401670795427	0.7428123095888413
475_S16_L002_R1_001	0.22347680983938095	0.4547247212710647
476_S17_L002_R1_001	0.296043639716587	1.986037173835086
477_S37_L002_R1_001	0.12504268005811184	0.0
47_S58_L002_R1_001	0.12188810895246072	0.20733260824971134
481_S57_L002_R1_001	0.1805590351330819	1.582322360869501
482_S25_L002_R1_001	0.28001601040972024	2.5995499656972543
483_S7_L002_R1_001	0.3597213872673903	3.6555682403416663
484_S43_L002_R1_001	0.20402325071912517	0.7532958860765585
485_S21_L002_R1_001	0.16870789648664442	0.3354288541575715
487_S6_L002_R1_001	0.11442617049701785	0.0
488_S26_L002_R1_001	0.2449868996250993	1.7762488593383967
489_S35_L002_R1_001	0.1652688141779913	0.2195285116443205
490_S19_L002_R1_001	0.18658144647795202	0.5878306054008898
491_S50_L002_R1_001	0.6260425025678423	3.9516765290536426
492_S40_L002_R1_001	0.25323638355867484	2.109726233784217
506_S47_L002_R1_001	0.5852889309233548	6.979044125587963
513_S56_L002_R1_001	0.17746263656090405	1.8584338198225845
521_S65_L002_R1_001	0.4276168833503055	7.037505346379535
522_S1_L002_R1_001	0.2313379632694608	3.2776026627096577
523_S4_L002_R1_001	0.3764322495359712	1.637116770370822
524_S11_L002_R1_001	0.3600153731913523	1.9879786311991814
525_S18_L002_R1_001	0.14072371989117854	0.320637252779431
526_S15_L002_R1_001	0.11963752773615753	0.11161042915157134
527_S39_L002_R1_001	0.1905124121798513	1.6352232410208518
528_S27_L002_R1_001	0.2128236251526653	1.2400823746727139
529_S53_L002_R1_001	0.5631914488067034	4.422088383538139
531_S44_L002_R1_001	0.14879296645091128	0.3394185967421633
532_S33_L002_R1_001	0.20406209337483602	1.423559782783555
533_S61_L002_R1_001	0.13009876042362584	0.44619911009544794
541_S41_L002_R1_001	0.2099360066538615	2.045088813195342
542_S3_L002_R1_001	0.6671439403133305	6.681921184953506
543_S29_L002_R1_001	0.25619464037633494	1.2250454847308887
551_S24_L002_R1_001	0.15164261815290803	1.1273359075281375
552b_S54_L002_R1_001	0.18410520977695924	1.3215527357873977
553_S23_L002_R1_001	0.10636613908548224	0.0
554_S13_L002_R1_001	0.10507747208223757	0.0
561_S69_L002_R1_001	1.5452421866064758	6.079875948729927
562_S77_L002_R1_001	0.6821580840525058	4.897124573915699
563_S59_L002_R1_001	1.4190378902942244	7.552820890449753
564_S32_L002_R1_001	0.16922564128333248	0.12643648146713718
565_S67_L002_R1_001	0.2858853401345706	0.8755670801106725
571_S76_L002_R1_001	21.052072157417765	4.839052548679433
Undetermined_S0_L001_R1_001	0.0	0.0
Undetermined_S0_L002_R1_001	0.0	0.0
