Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
137_S63_L001_R1_001	137_S63_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	6404696.0	0.0	100.0	35.0	54.057654904395335	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
139_S54_L001_R1_001	139_S54_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	2349211.0	0.0	100.0	35.0	65.20898744330285	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
140_S64_L001_R1_001	140_S64_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	5892333.0	0.0	100.0	35.0	53.56962169210492	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
141_S61_L001_R1_001	141_S61_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	2037213.0	0.0	100.0	35.0	64.98151589641529	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
156_S66_L001_R1_001	156_S66_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	5179056.0	0.0	100.0	33.0	43.56435050203998	100.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
159_S68_L001_R1_001	159_S68_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	9159117.0	0.0	100.0	33.0	42.194624951204794	100.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
161_S57_L001_R1_001	161_S57_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	6891720.0	0.0	100.0	35.0	54.72210605287064	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
162_S62_L001_R1_001	162_S62_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	6282792.0	0.0	100.0	33.0	53.71261379417865	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
168_S67_L001_R1_001	168_S67_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	3059208.0	0.0	100.0	34.0	54.757305483594045	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
169_S65_L001_R1_001	169_S65_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	11072381.0	0.0	100.0	34.0	46.56241514289828	100.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
171_S58_L001_R1_001	171_S58_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8290001.0	0.0	100.0	34.0	48.83778985094208	100.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
172_S59_L001_R1_001	172_S59_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	5002990.0	0.0	100.0	35.0	58.57344462424301	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
181_S69_L001_R1_001	181_S69_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	2730129.0	0.0	100.0	33.0	46.50392365487346	100.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
183_S56_L001_R1_001	183_S56_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	9601553.0	0.0	100.0	35.0	55.40563302169353	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
184_S55_L001_R1_001	184_S55_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	3429255.0	0.0	100.0	36.0	60.87147884655219	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
185_S60_L001_R1_001	185_S60_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	2156823.0	0.0	100.0	35.0	56.16249410436104	100.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
291_S42_L001_R1_001	291_S42_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7256905.0	0.0	100.0	35.0	58.51404195576184	100.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
292_S32_L001_R1_001	292_S32_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	5276160.0	0.0	100.0	39.0	66.55126587840411	100.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail
293_S11_L001_R1_001	293_S11_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	5118828.0	0.0	100.0	38.0	63.629244644338975	100.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail
294_S7_L001_R1_001	294_S7_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7382060.0	0.0	100.0	36.0	56.80477796372002	100.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail
