Sample	Unique Reads	Duplicate Reads
137_S63_L001_R1_001	3462229.0	2942467.0
139_S54_L001_R1_001	1531897.0	817314.0
140_S64_L001_R1_001	3156501.0	2735832.0
141_S61_L001_R1_001	1323812.0	713401.0
156_S66_L001_R1_001	2256223.0	2922833.0
159_S68_L001_R1_001	3864656.0	5294461.0
161_S57_L001_R1_001	3771295.0	3120425.0
162_S62_L001_R1_001	3374652.0	2908140.0
168_S67_L001_R1_001	1675140.0	1384068.0
169_S65_L001_R1_001	5155569.0	5916812.0
171_S58_L001_R1_001	4048654.0	4241347.0
172_S59_L001_R1_001	2930424.0	2072566.0
181_S69_L001_R1_001	1269618.0	1460511.0
183_S56_L001_R1_001	5319802.0	4281751.0
184_S55_L001_R1_001	2087439.0	1341816.0
185_S60_L001_R1_001	1211326.0	945497.0
291_S42_L001_R1_001	4246309.0	3010596.0
292_S32_L001_R1_001	3511352.0	1764808.0
293_S11_L001_R1_001	3257072.0	1861756.0
294_S7_L001_R1_001	4193363.0	3188697.0
295_S41_L001_R1_001	6089411.0	3775753.0
296_S40_L001_R1_001	7468355.0	4631121.0
298_S25_L001_R1_001	4427090.0	2207062.0
299_S21_L001_R1_001	6430211.0	3365139.0
301_S22_L001_R1_001	4670440.0	2732849.0
302_S15_L001_R1_001	6863365.0	3348469.0
303_S17_L001_R1_001	4998747.0	2835394.0
304_S24_L001_R1_001	5996537.0	3012990.0
305_S1_L001_R1_001	3836711.0	2343229.0
306_S44_L001_R1_001	4460217.0	3505577.0
307_S45_L001_R1_001	4161497.0	3293425.0
308_S5_L001_R1_001	4306708.0	3871992.0
309_S20_L001_R1_001	5390973.0	3210150.0
311_S2_L001_R1_001	4515666.0	2558248.0
312_S28_L001_R1_001	4424469.0	2722921.0
313_S36_L001_R1_001	4101899.0	2858647.0
314_S49_L001_R1_001	2464382.0	2902499.0
315_S26_L001_R1_001	5784209.0	3245290.0
316_S9_L001_R1_001	6114863.0	3681404.0
317_S33_L001_R1_001	3959240.0	1896024.0
318_S6_L001_R1_001	3900194.0	2422703.0
319_S52_L001_R1_001	3418431.0	4536564.0
321_S29_L001_R1_001	4208673.0	2024898.0
322_S8_L001_R1_001	4650236.0	2974404.0
323_S39_L001_R1_001	6695974.0	3471484.0
324_S47_L001_R1_001	4835720.0	3691400.0
325_S13_L001_R1_001	5295678.0	2564833.0
326_S38_L001_R1_001	5334085.0	3761662.0
327_S37_L001_R1_001	3689870.0	2219339.0
328_S12_L001_R1_001	8875300.0	4038960.0
329_S46_L001_R1_001	4806657.0	3727462.0
331_S53_L001_R1_001	2982738.0	3881914.0
332_S48_L001_R1_001	2965018.0	2629191.0
333_S30_L001_R1_001	3421938.0	1967056.0
334_S50_L001_R1_001	2650188.0	3189753.0
335_S31_L001_R1_001	3482607.0	1914109.0
336_S51_L001_R1_001	3628719.0	4218536.0
337_S35_L001_R1_001	5945941.0	4855966.0
338_S4_L001_R1_001	3854920.0	2619430.0
339_S10_L001_R1_001	4212177.0	3197153.0
341_S19_L001_R1_001	3643133.0	2077998.0
342_S23_L001_R1_001	5231219.0	3621374.0
343_S14_L001_R1_001	5364544.0	2557751.0
344_S27_L001_R1_001	5857851.0	5211194.0
345_S16_L001_R1_001	4179806.0	1661896.0
346_S18_L001_R1_001	3919705.0	1965764.0
347_S43_L001_R1_001	3937676.0	2792564.0
348_S3_L001_R1_001	4245730.0	3089086.0
349_S34_L001_R1_001	3992421.0	1932116.0
34_S68_L002_R1_001	1776585.0	5151279.0
35_S72_L002_R1_001	826637.0	1901093.0
37_S70_L002_R1_001	1272435.0	6333325.0
39_S52_L002_R1_001	3252583.0	2740953.0
401_S10_L002_R1_001	1438268.0	2704549.0
402_S5_L002_R1_001	3142088.0	2675812.0
403_S30_L002_R1_001	4139299.0	2622308.0
404_S42_L002_R1_001	3171820.0	3828393.0
411_S9_L002_R1_001	3384036.0	3263738.0
412_S74_L002_R1_001	656657.0	6395574.0
413_S38_L002_R1_001	3255128.0	3165166.0
414_S49_L002_R1_001	3499515.0	2075627.0
41_S62_L002_R1_001	2273398.0	6012573.0
421_S22_L002_R1_001	4558034.0	3080417.0
431b_S8_L002_R1_001	2905332.0	3465859.0
432_S75_L002_R1_001	538790.0	5493191.0
434_S55_L002_R1_001	3057601.0	4028109.0
43_S46_L002_R1_001	4040275.0	3252706.0
441_S73_L002_R1_001	864295.0	8319683.0
442b_S60_L002_R1_001	2310817.0	3127608.0
443_S36_L002_R1_001	2861681.0	3307154.0
444_S34_L002_R1_001	3585449.0	4473930.0
445_S45_L002_R1_001	3959920.0	2672549.0
44_S71_L002_R1_001	460475.0	905017.0
451_S28_L002_R1_001	4827238.0	4282524.0
452b_S2_L002_R1_001	2709625.0	2841306.0
453_S12_L002_R1_001	3194761.0	2151541.0
45_S63_L002_R1_001	2341085.0	4889979.0
461b_S31_L002_R1_001	2473961.0	2161517.0
462b_S64_L002_R1_001	4292387.0	5879777.0
46_S66_L002_R1_001	1936036.0	5649383.0
471b_S51_L002_R1_001	3391359.0	2985617.0
472b_S48_L002_R1_001	3358975.0	2933192.0
473_S20_L002_R1_001	3545006.0	3098011.0
474_S14_L002_R1_001	4253104.0	4248236.0
475_S16_L002_R1_001	3824666.0	3548806.0
476_S17_L002_R1_001	2369359.0	2346162.0
477_S37_L002_R1_001	3671906.0	2900250.0
47_S58_L002_R1_001	2732302.0	2722701.0
481_S57_L002_R1_001	3871220.0	3780571.0
482_S25_L002_R1_001	2556794.0	2859682.0
483_S7_L002_R1_001	2903334.0	3224742.0
484_S43_L002_R1_001	2766801.0	2427705.0
485_S21_L002_R1_001	4083126.0	3063546.0
487_S6_L002_R1_001	3760742.0	3651024.0
488_S26_L002_R1_001	3311263.0	3615638.0
489_S35_L002_R1_001	4272820.0	3117564.0
490_S19_L002_R1_001	3538241.0	2418407.0
491_S50_L002_R1_001	2935274.0	3580897.0
492_S40_L002_R1_001	3676891.0	4295897.0
506_S47_L002_R1_001	2301887.0	3577944.0
513_S56_L002_R1_001	3729934.0	2657326.0
521_S65_L002_R1_001	3142231.0	8625078.0
522_S1_L002_R1_001	2583978.0	3291841.0
523_S4_L002_R1_001	2935157.0	4148455.0
524_S11_L002_R1_001	3115184.0	3053997.0
525_S18_L002_R1_001	3450470.0	1999926.0
526_S15_L002_R1_001	3132697.0	2199242.0
527_S39_L002_R1_001	3934861.0	4100311.0
528_S27_L002_R1_001	4793979.0	3990760.0
529_S53_L002_R1_001	2891181.0	4081226.0
531_S44_L002_R1_001	3058452.0	2028482.0
532_S33_L002_R1_001	2652083.0	2476258.0
533_S61_L002_R1_001	2688505.0	2685105.0
541_S41_L002_R1_001	3211899.0	3977911.0
542_S3_L002_R1_001	2201054.0	4086045.0
543_S29_L002_R1_001	2434578.0	1592048.0
551_S24_L002_R1_001	3998391.0	3634028.0
552b_S54_L002_R1_001	2206013.0	2163771.0
553_S23_L002_R1_001	3096067.0	1837834.0
554_S13_L002_R1_001	4769911.0	3377411.0
561_S69_L002_R1_001	903430.0	5505533.0
562_S77_L002_R1_001	4070669.0	11997454.0
563_S59_L002_R1_001	2879322.0	5453366.0
564_S32_L002_R1_001	2727472.0	1829757.0
565_S67_L002_R1_001	1427776.0	4211198.0
571_S76_L002_R1_001	292387.0	1109437.0
Undetermined_S0_L001_R1_001	4829125.0	6213957.0
Undetermined_S0_L002_R1_001	4039218.0	9600112.0
