Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
137_S63_L001_R1_001	45.942345095604665	35.0	100.0	27.27272727272727	6404696.0
139_S54_L001_R1_001	34.791012556697154	35.0	100.0	27.27272727272727	2349211.0
140_S64_L001_R1_001	46.43037830789508	35.0	100.0	27.27272727272727	5892333.0
141_S61_L001_R1_001	35.01848410358471	35.0	100.0	27.27272727272727	2037213.0
156_S66_L001_R1_001	56.43564949796002	33.0	100.0	36.36363636363637	5179056.0
159_S68_L001_R1_001	57.805375048795206	33.0	100.0	36.36363636363637	9159117.0
161_S57_L001_R1_001	45.27789394712936	35.0	100.0	27.27272727272727	6891720.0
162_S62_L001_R1_001	46.28738620582135	33.0	100.0	27.27272727272727	6282792.0
168_S67_L001_R1_001	45.242694516405955	34.0	100.0	27.27272727272727	3059208.0
169_S65_L001_R1_001	53.43758485710172	34.0	100.0	36.36363636363637	11072381.0
171_S58_L001_R1_001	51.16221014905792	34.0	100.0	36.36363636363637	8290001.0
172_S59_L001_R1_001	41.42655537575699	35.0	100.0	27.27272727272727	5002990.0
181_S69_L001_R1_001	53.49607634512654	33.0	100.0	27.27272727272727	2730129.0
183_S56_L001_R1_001	44.59436697830647	35.0	100.0	27.27272727272727	9601553.0
184_S55_L001_R1_001	39.12852115344781	36.0	100.0	27.27272727272727	3429255.0
185_S60_L001_R1_001	43.83750589563896	35.0	100.0	27.27272727272727	2156823.0
291_S42_L001_R1_001	41.48595804423816	35.0	100.0	18.181818181818183	7256905.0
292_S32_L001_R1_001	33.44873412159589	39.0	100.0	18.181818181818183	5276160.0
293_S11_L001_R1_001	36.370755355661025	38.0	100.0	18.181818181818183	5118828.0
294_S7_L001_R1_001	43.19522203627998	36.0	100.0	18.181818181818183	7382060.0
295_S41_L001_R1_001	38.27359714461309	36.0	100.0	18.181818181818183	9865164.0
296_S40_L001_R1_001	38.27538980052149	35.0	100.0	18.181818181818183	12099476.0
298_S25_L001_R1_001	33.26818869153972	36.0	100.0	18.181818181818183	6634152.0
299_S21_L001_R1_001	34.35446159186647	38.0	100.0	18.181818181818183	9795350.0
301_S22_L001_R1_001	36.91399633687931	35.0	100.0	18.181818181818183	7403289.0
302_S15_L001_R1_001	32.79009341728192	36.0	100.0	18.181818181818183	10211834.0
303_S17_L001_R1_001	36.192794535565355	35.0	100.0	18.181818181818183	7834141.0
304_S24_L001_R1_001	33.442266424812274	37.0	100.0	18.181818181818183	9009527.0
305_S1_L001_R1_001	37.91670328214557	36.0	100.0	18.181818181818183	6179940.0
306_S44_L001_R1_001	44.00788912183208	34.0	100.0	18.181818181818183	7965794.0
307_S45_L001_R1_001	44.17786965711985	35.0	100.0	18.181818181818183	7454922.0
308_S5_L001_R1_001	47.34238983323855	36.0	100.0	18.181818181818183	8178700.0
309_S20_L001_R1_001	37.32245663500176	36.0	100.0	18.181818181818183	8601123.0
311_S2_L001_R1_001	36.16453660390595	36.0	100.0	18.181818181818183	7073914.0
